MovieName,Star1,Star2,Star3,Star4,Genre1,Genre2,Genre3,GrossCollection,Certification,votes
Kill Bill: Vol, Uma Thurman, David Carradine, Daryl Hannah, Michael Madsen,Action, Crime, Thriller,70.1,R ,"11,44,565"
Die Hard, Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson,Action, Thriller,Nan,83.01,R ,"9,03,931"
V for Vendetta, Hugo Weaving, Natalie Portman, Rupert Graves, Stephen Rea,Action, Drama, Sci-Fi,70.51,R ,"11,43,708"
Demon Slayer the Movie: Mugen Train, Natsuki Hanae, Akari Kitô, Yoshitsugu Matsuoka, Hiro Shimono,Animation, Action, Adventure,47.7,R ,"65,403"
Ran, Tatsuya Nakadai, Akira Terao, Jinpachi Nezu, Daisuke Ryû,Action, Drama, War,4.14,R ,"1,29,790"
Gangs of Wasseypur, Manoj Bajpayee, Nawazuddin Siddiqui, Tigmanshu Dhulia, Richa Chadha,Action, Comedy, Crime,Nan,Not Rated ,"99,647"
Yojimbo, Toshirô Mifune, Eijirô Tôno, Tatsuya Nakadai, Yôko Tsukasa,Action, Drama, Thriller,Nan,Not Rated ,"1,26,317"
Baahubali 2: The Conclusion, Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia,Action, Drama,Nan,20.19,Not Rated ,"1,07,602"
Uri: The Surgical Strike, Vicky Kaushal, Paresh Rawal, Mohit Raina, Yami Gautam,Action, Drama, History,4.19,Not Rated ,"67,887"
K, Yash, Srinidhi Shetty, Ramachandra Raju, Archana Jois,Action, Crime, Drama,Nan,Not Rated ,"92,095"
The Mountain II, Caglar Ertugrul, Ufuk Bayraktar, Ahu Türkpençe, Murat Serezli,Action, Drama, War,Nan,Nan,"1,09,272"
Vikram Vedha, Madhavan, Vijay Sethupathi, Shraddha Srinath, Kathir,Action, Crime, Drama,Nan,Not Rated ,"48,007"
Sherlock Jr, Buster Keaton, Kathryn McGuire, Joe Keaton, Erwin Connelly,Action, Comedy, Romance,0.98,Passed ,"52,803"
