MovieName,Star1,Star2,Star3,Star4,Genre1,Genre2,Genre3,GrossCollection,Certification,votes
Kung Fu Panda 2, Jack Black, Angelina Jolie, Jackie Chan, Dustin Hoffman,Animation, Action, Adventure,165.25,PG ,"3,00,197"
Lethal Weapon 2, Mel Gibson, Danny Glover, Joe Pesci, Patsy Kensit,Action, Crime, Thriller,147.25,R ,"1,82,545"
Anthropoid, Jamie Dornan, Cillian Murphy, Brian Caspe, Karel Hermánek Jr.,Action, Biography, Drama,2.96,R ,"51,133"
The Italian Job, Michael Caine, Noël Coward, Benny Hill, Raf Vallone,Action, Comedy, Crime,Nan,G ,"48,510"
Silverado, Kevin Kline, Scott Glenn, Kevin Costner, Danny Glover,Action, Crime, Drama,33.2,PG-13 ,"46,481"
In the Line of Fire, Clint Eastwood, John Malkovich, Rene Russo, Dylan McDermott,Action, Crime, Drama,102.31,R ,"1,08,932"
Django, Franco Nero, José Canalejas, José Bódalo, Loredana Nusciak,Action, Drama, Western,0.03,Not Rated ,"29,542"
War Horse, Jeremy Irvine, Emily Watson, David Thewlis, Benedict Cumberbatch,Action, Adventure, Drama,79.88,PG-13 ,"1,61,616"
Arlington Road, Jeff Bridges, Tim Robbins, Joan Cusack, Hope Davis,Action, Crime, Drama,24.36,R ,"89,382"
Runaway Train, Jon Voight, Eric Roberts, Rebecca De Mornay, Kyle T. Heffner,Action, Adventure, Drama,7.94,R ,"31,096"
The Witcher: Nightmare of the Wolf, Theo James, Mary McDonnell, Lara Pulver, Graham McTavish,Animation, Action, Adventure,Nan,TV-MA ,"47,423"
Harry Brown, Michael Caine, Emily Mortimer, David Bradley, Charlie Creed-Miles,Action, Crime, Drama,1.82,R ,"89,658"
Magnum Force, Clint Eastwood, Hal Holbrook, Mitchell Ryan, David Soul,Action, Crime, Mystery,4.56,R ,"64,384"
The Hitcher, Rutger Hauer, C. Thomas Howell, Jennifer Jason Leigh, Jeffrey DeMunn,Action, Mystery, Thriller,5.84,R ,"50,312"
The Way of the Dragon, Bruce Lee, Chuck Norris, Nora Miao, Ping-Ou Wei,Action, Adventure, Comedy,4.06,R ,"39,129"
'71, Jack O'Connell, Sam Reid, Sean Harris, Paul Popplewell,Action, Crime, Drama,1.27,R ,"58,261"
The Siege of Jadotville, Richard Lukunku, Danny Sapani, Andrew Stock, Mark Strong,Action, Drama, History,Nan,TV-MA ,"42,103"
Fist of Fury, Bruce Lee, Nora Miao, James Tien, Maria Yi,Action, Drama, Romance,1.29,R ,"32,157"
Final Fantasy VII: Advent Children, Takahiro Sakurai, Ayumi Ito, Shôtarô Morikubo, Maaya Sakamoto,Animation, Action, Adventure,Nan,PG-13 ,"57,275"
Mongol: The Rise of Genghis Khan, Tadanobu Asano, Amadu Mamadakov, Khulan Chuluun, Honglei Sun,Action, Biography, Drama,5.7,R ,"48,034"
The Good the Bad the Weird, Song Kang-ho, Lee Byung-hun, Jung Woo-sung, Je-mun Yun,Action, Adventure, Comedy,0.13,R ,"36,843"
Marshland, Javier Gutiérrez, Raúl Arévalo, María Varod, Perico Cervantes,Action, Crime, Mystery,Nan,TV-MA ,"35,127"
Bajirao Mastani, Ranveer Singh, Deepika Padukone, Priyanka Chopra Jonas, Tanvi Azmi,Action, Drama, History,6.56,Not Rated ,"37,060"
Holiday: A Soldier is Never Off Duty, Akshay Kumar, Sonakshi Sinha, Freddy Daruwala, Sumeet Raghavan,Action, Crime, Thriller,0.71,Not Rated ,"29,196"
Extraction II, Chris Hemsworth, Golshifteh Farahani, Adam Bessa, Tornike Gogrichiani,Action, Thriller,Nan,Nan,R ,"69,510"
Man of Steel, Henry Cavill, Amy Adams, Michael Shannon, Diane Lane,Action, Adventure, Sci-Fi,291.05,PG-13 ,"7,89,206"
Mission: Impossible, Tom Cruise, Jon Voight, Emmanuelle Béart, Henry Czerny,Action, Adventure, Thriller,180.98,PG-13 ,"4,41,142"
The Mummy, Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo,Action, Adventure, Fantasy,155.25,PG-13 ,"4,45,158"
Batman Returns, Michael Keaton, Danny DeVito, Michelle Pfeiffer, Christopher Walken,Action, Crime, Fantasy,162.83,PG-13 ,"3,15,577"
Prey, Amber Midthunder, Dakota Beavers, Dane DiLiegro, Stormee Kipp,Action, Adventure, Drama,Nan,R ,"2,08,712"
Wrath of Man, Jason Statham, Holt McCallany, Josh Hartnett, Rocci Boy Williams,Action, Crime, Thriller,27.47,R ,"1,91,951"
Free Guy, Ryan Reynolds, Jodie Comer, Taika Waititi, Lil Rel Howery,Action, Adventure, Comedy,121.63,PG-13 ,"3,93,790"
Furious 7, Vin Diesel, Paul Walker, Dwayne Johnson, Jason Statham,Action, Crime, Thriller,353.01,PG-13 ,"4,02,952"
Tropic Thunder, Ben Stiller, Jack Black, Robert Downey Jr., Jeff Kahn,Action, Comedy, War,110.52,R ,"4,30,634"
Shooter, Mark Wahlberg, Michael Peña, Rhona Mitra, Danny Glover,Action, Drama, Thriller,47,R ,"3,44,238"
Creed II, Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad,Action, Drama, Sport,115.72,PG-13 ,"1,46,450"
DC League of Super-Pets, Dwayne Johnson, Kevin Hart, Kate McKinnon, John Krasinski,Animation, Action, Adventure,93.66,PG ,"70,194"
Iron Man 3, Robert Downey Jr., Guy Pearce, Gwyneth Paltrow, Don Cheadle,Action, Adventure, Sci-Fi,409.01,PG-13 ,"8,72,082"
Planet Terror, Rose McGowan, Freddy Rodríguez, Josh Brolin, Marley Shelton,Action, Comedy, Horror,Nan,R ,"2,17,388"
"I, Robot", Will Smith, Bridget Moynahan, Bruce Greenwood, Alan Tudyk,Action, Mystery, Sci-Fi,144.8,PG-13 ,"5,56,351"
Blade, Wesley Snipes, Stephen Dorff, Kris Kristofferson, N'Bushe Wright,Action, Horror, Sci-Fi,70.09,R ,"2,85,527"
Snowpiercer, Chris Evans, Jamie Bell, Tilda Swinton, Ed Harris,Action, Drama, Sci-Fi,4.56,R ,"3,73,165"
American Made, Tom Cruise, Domhnall Gleeson, Sarah Wright, Jesse Plemons,Action, Comedy, Crime,51.34,R ,"1,94,525"
Pirates of the Caribbean: At World's End, Johnny Depp, Orlando Bloom, Keira Knightley, Geoffrey Rush,Action, Adventure, Fantasy,309.42,PG-13 ,"6,69,109"
Everest, Jason Clarke, Ang Phula Sherpa, Thomas M. Wright, Martin Henderson,Action, Adventure, Biography,43.48,PG-13 ,"2,24,750"
Dredd, Karl Urban, Olivia Thirlby, Lena Headey, Rachel Wood,Action, Crime, Sci-Fi,13.41,R ,"2,83,724"
WarGames, Matthew Broderick, Ally Sheedy, John Wood, Dabney Coleman,Action, Drama, Sci-Fi,79.57,PG ,"1,04,848"
Rocky Balboa, Sylvester Stallone, Antonio Tarver, Milo Ventimiglia, Burt Young,Action, Drama, Sport,70.27,PG ,"2,25,331"
Desperado, Antonio Banderas, Salma Hayek, Joaquim de Almeida, Cheech Marin,Action, Crime, Drama,25.63,R ,"1,91,679"
Deepwater Horizon, Mark Wahlberg, Kurt Russell, Douglas M. Griffin, James DuMont,Action, Drama, History,61.43,PG-13 ,"1,74,735"
Escape from New York, Kurt Russell, Lee Van Cleef, Ernest Borgnine, Donald Pleasence,Action, Adventure, Sci-Fi,25.24,R ,"1,49,483"
Real Steel, Hugh Jackman, Evangeline Lilly, Dakota Goyo, Anthony Mackie,Action, Drama, Sci-Fi,85.47,PG-13 ,"3,42,059"
Deja Vu, Denzel Washington, Paula Patton, Jim Caviezel, Val Kilmer,Action, Crime, Sci-Fi,64.04,PG-13 ,"3,18,517"
Allied, Brad Pitt, Marion Cotillard, Jared Harris, Vincent Ebrahim,Action, Drama, Romance,40.1,R ,"1,63,145"
Die Hard 2, Bruce Willis, William Atherton, Bonnie Bedelia, Reginald VelJohnson,Action, Thriller,Nan,117.54,R ,"3,71,354"
We Were Soldiers, Mel Gibson, Madeleine Stowe, Greg Kinnear, Sam Elliott,Action, Drama, History,78.12,R ,"1,46,893"
The Poseidon Adventure, Gene Hackman, Ernest Borgnine, Shelley Winters, Red Buttons,Action, Adventure, Drama,84.56,PG ,"47,391"
No Way Out, Kevin Costner, Gene Hackman, Sean Young, Will Patton,Action, Crime, Drama,35.51,R ,"43,104"
Kung Fu Panda 3, Jack Black, Bryan Cranston, Dustin Hoffman, Angelina Jolie,Animation, Action, Adventure,143.53,PG ,"1,71,414"
Live Free or Die Hard, Bruce Willis, Justin Long, Timothy Olyphant, Maggie Q,Action, Thriller,Nan,134.53,PG-13 ,"4,13,091"
Mosul, Waleed Elgadi, Suhail Dabbach, Adam Bessa, Is'haq Elias,Action, Drama, War,Nan,TV-MA ,"28,683"
Casualties of War, Michael J. Fox, Sean Penn, Don Harvey, John C. Reilly,Action, Crime, Drama,18.67,R ,"46,486"
God Bless America, Joel Murray, Tara Lynne Barr, Mackenzie Brooke Smith, Melinda Page Hamilton,Action, Comedy, Crime,0.12,R ,"71,145"
Defiance, Daniel Craig, Liev Schreiber, Jamie Bell, Alexa Davalos,Action, Drama, History,28.64,R ,"1,52,283"
Three Kings, George Clooney, Mark Wahlberg, Ice Cube, Spike Jonze,Action, Adventure, Comedy,60.65,R ,"1,76,275"
Payback, Mel Gibson, Gregg Henry, Maria Bello, David Paymer,Action, Crime, Drama,81.53,R ,"1,41,703"
Brawl in Cell Block 99, Vince Vaughn, Jennifer Carpenter, Don Johnson, Udo Kier,Action, Crime, Drama,Nan,Not Rated ,"71,089"
Ong-Bak: The Thai Warrior, Tony Jaa, Phetthai Vongkumlao, Pumwaree Yodkamol, Suchao Pongwilai,Action, Crime, Thriller,4.56,R ,"76,557"
Kon-Tiki, Pål Sverre Hagen, Anders Baasmo, Gustaf Skarsgård, Odd-Magnus Williamson,Action, Adventure, Biography,1.52,PG-13 ,"50,586"
Flags of Our Fathers, Ryan Phillippe, Barry Pepper, Joseph Cross, Jesse Bradford,Action, Adventure, Drama,33.6,R ,"1,26,414"
Megan Leavey, Kate Mara, Ramón Rodríguez, Tom Felton, Bradley Whitford,Action, Biography, Drama,13.41,PG-13 ,"25,141"
The Girl Who Played with Fire, Noomi Rapace, Michael Nyqvist, Lena Endre, Peter Andersson,Action, Crime, Drama,9.08,R ,"96,938"
District B13, Cyril Raffaelli, David Belle, Tony D'Amario, Bibi Naceri,Action, Crime, Sci-Fi,1.2,R ,"72,205"
In Order of Disappearance, Stellan Skarsgård, Bruno Ganz, Pål Sverre Hagen, Jakob Oftebro,Action, Comedy, Crime,0.05,R ,"28,178"
Dragon Ball Z: Battle of Gods, Masako Nozawa, Hiromi Tsuru, Ryô Horikawa, Masaharu Satô,Animation, Action, Adventure,2.55,TV-PG ,"29,011"
JCVD, Jean-Claude Van Damme, Valérie Bodson, Hervé Sogne, Rock Chen,Action, Comedy, Crime,0.47,R ,"39,675"
Don, Shah Rukh Khan, Priyanka Chopra Jonas, Arjun Rampal, Isha Koppikar,Action, Crime, Thriller,0.8,Not Rated ,"39,014"
Koi, Hrithik Roshan, Rekha, Preity G Zinta, Rakesh Roshan,Action, Drama, Romance,0.68,Not Rated ,"25,765"
Micmacs, Dany Boon, André Dussollier, Nicolas Marié, Yolande Moreau,Action, Comedy, Crime,1.26,R ,"30,828"
Fanaa, Aamir Khan, Kajol, Rishi Kapoor, Tabu,Action, Drama, Romance,2.1,Not Rated ,"33,974"
Enthiran, Rajinikanth, Aishwarya Rai Bachchan, Danny Denzongpa, Santhanam,Action, Sci-Fi, Thriller,4.37,Not Rated ,"28,771"
Marighella, Seu Jorge, Bruno Gagliasso, Luiz Carlos Vasconcelos, Humberto Carrão,Action, Drama, History,Nan,Nan,"55,632"
Kaabil, Hrithik Roshan, Yami Gautam, Ronit Roy, Rohit Roy,Action, Crime, Drama,Nan,Not Rated ,"28,111"
Gabbar Is Back, Akshay Kumar, Shruti Haasan, Kareena Kapoor, Suman,Action, Crime, Drama,Nan,Not Rated ,"25,829"
Transformers, Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson,Action, Adventure, Sci-Fi,319.25,PG-13 ,"6,56,276"
The Unbearable Weight of Massive Talent, Nicolas Cage, Pedro Pascal, Tiffany Haddish, Sharon Horgan,Action, Comedy, Crime,Nan,R ,"1,26,995"
The Northman, Alexander Skarsgård, Nicole Kidman, Claes Bang, Ethan Hawke,Action, Adventure, Drama,34.23,R ,"2,30,117"
Shazam!, Zachary Levi, Mark Strong, Asher Angel, Jack Dylan Grazer,Action, Adventure, Comedy,140.37,PG-13 ,"3,66,840"
Thor, Chris Hemsworth, Anthony Hopkins, Natalie Portman, Tom Hiddleston,Action, Fantasy,Nan,181.03,PG-13 ,"8,72,146"
Jack Reacher, Tom Cruise, Rosamund Pike, Richard Jenkins, Werner Herzog,Action, Mystery, Thriller,80.07,PG-13 ,"3,51,012"
Independence Day, Will Smith, Bill Pullman, Jeff Goldblum, Mary McDonnell,Action, Adventure, Sci-Fi,306.17,PG-13 ,"5,88,022"
Fast & Furious 6, Vin Diesel, Paul Walker, Dwayne Johnson, Michelle Rodriguez,Action, Adventure, Crime,238.68,PG-13 ,"4,06,004"
Death Proof, Kurt Russell, Zoë Bell, Rosario Dawson, Vanessa Ferlito,Action, Thriller,Nan,Nan,R ,"3,01,998"
Stargate, Kurt Russell, James Spader, Jaye Davidson, Viveca Lindfors,Action, Adventure, Sci-Fi,71.57,PG-13 ,"1,97,727"
Spy, Melissa McCarthy, Rose Byrne, Jude Law, Jason Statham,Action, Comedy,Nan,110.83,R ,"2,51,180"
The Kingdom, Jamie Foxx, Chris Cooper, Jennifer Garner, Jason Bateman,Action, Drama, Thriller,47.54,R ,"1,29,379"
Greyhound, Tom Hanks, Elisabeth Shue, Stephen Graham, Matt Helm,Action, Drama, History,Nan,PG-13 ,"1,04,166"
Cloverfield, Mike Vogel, Jessica Lucas, Lizzy Caplan, T.J. Miller,Action, Adventure, Horror,80.05,PG-13 ,"4,09,792"
Oblivion, Tom Cruise, Morgan Freeman, Andrea Riseborough, Olga Kurylenko,Action, Adventure, Sci-Fi,89.02,PG-13 ,"5,38,667"
World War Z, Brad Pitt, Mireille Enos, Daniella Kertesz, James Badge Dale,Action, Adventure, Horror,202.36,PG-13 ,"6,89,754"
Constantine, Keanu Reeves, Rachel Weisz, Djimon Hounsou, Shia LaBeouf,Action, Fantasy, Horror,75.98,R ,"3,59,626"
Star Trek Beyond, Chris Pine, Zachary Quinto, Karl Urban, Zoe Saldana,Action, Adventure, Sci-Fi,158.85,PG-13 ,"2,52,362"
Super 8, Elle Fanning, AJ Michalka, Kyle Chandler, Joel Courtney,Action, Mystery, Sci-Fi,127,PG-13 ,"3,61,482"
Body of Lies, Leonardo DiCaprio, Russell Crowe, Mark Strong, Golshifteh Farahani,Action, Drama, Thriller,39.39,R ,"2,33,432"
Highlander, Christopher Lambert, Sean Connery, Clancy Brown, Roxanne Hart,Action, Adventure, Fantasy,5.9,R ,"1,41,326"
Sicario: Day of the Soldado, Benicio Del Toro, Josh Brolin, Isabela Merced, Jeffrey Donovan,Action, Crime, Drama,50.07,R ,"1,57,079"
The Italian Job, Donald Sutherland, Mark Wahlberg, Edward Norton, Charlize Theron,Action, Crime, Thriller,106.13,PG-13 ,"3,78,335"
Bronson, Tom Hardy, Kelly Adams, Luing Andrews, Katy Barker,Action, Crime, Drama,0.1,R ,"1,36,320"
Ant-Man and the Wasp, Paul Rudd, Evangeline Lilly, Michael Peña, Walton Goggins,Action, Adventure, Comedy,216.65,PG-13 ,"4,27,791"
Den of Thieves, Gerard Butler, Pablo Schreiber, O'Shea Jackson Jr., 50 Cent,Action, Crime, Drama,44.95,R ,"1,18,191"
Underworld, Kate Beckinsale, Scott Speedman, Shane Brolly, Michael Sheen,Action, Fantasy, Thriller,51.97,R ,"2,77,729"
RED, Bruce Willis, Helen Mirren, Morgan Freeman, Mary-Louise Parker,Action, Comedy, Crime,90.38,PG-13 ,"3,16,192"
Rush Hour, Jackie Chan, Chris Tucker, Ken Leung, Tom Wilkinson,Action, Comedy, Crime,141.15,PG-13 ,"2,80,432"
Smokey and the Bandit, Burt Reynolds, Sally Field, Jerry Reed, Mike Henry,Action, Adventure, Comedy,126.74,PG ,"54,317"
The Last Boy Scout, Bruce Willis, Damon Wayans, Chelsea Field, Noble Willingham,Action, Comedy, Crime,59.51,R ,"1,07,801"
Public Enemies, Christian Bale, Johnny Depp, Christian Stolte, Jason Clarke,Action, Biography, Crime,97.1,R ,"3,10,445"
Pitch Black, Radha Mitchell, Cole Hauser, Vin Diesel, Keith David,Action, Horror, Sci-Fi,39.24,R ,"2,47,594"
Logan Lucky, Channing Tatum, Adam Driver, Daniel Craig, Farrah Mackenzie,Action, Comedy, Crime,27.78,PG-13 ,"1,55,781"
22 Jump Street, Channing Tatum, Jonah Hill, Ice Cube, Nick Offerman,Action, Comedy, Crime,191.72,R ,"3,90,562"
Rambo, Sylvester Stallone, Julie Benz, Matthew Marsden, Graham McTavish,Action, Adventure, Thriller,42.75,R ,"2,38,252"
9, Elijah Wood, Jennifer Connelly, Crispin Glover, Christopher Plummer,Animation, Action, Adventure,31.74,PG-13 ,"1,43,526"
A Most Violent Year, Oscar Isaac, Jessica Chastain, David Oyelowo, Alessandro Nivola,Action, Crime, Drama,5.74,R ,"75,059"
Fallen, Denzel Washington, John Goodman, Donald Sutherland, Embeth Davidtz,Action, Crime, Drama,25.19,R ,"87,465"
Chip 'n Dale: Rescue Rangers, Andy Samberg, John Mulaney, KiKi Layne, Will Arnett,Animation, Action, Adventure,Nan,PG ,"44,023"
Chronicle, Dane DeHaan, Alex Russell, Michael B. Jordan, Michael Kelly,Action, Drama, Sci-Fi,64.58,PG-13 ,"2,57,247"
Brotherhood of the Wolf, Samuel Le Bihan, Mark Dacascos, Jérémie Renier, Vincent Cassel,Action, Adventure, Drama,11.26,R ,"68,896"
The Spy Who Loved Me, Roger Moore, Barbara Bach, Curd Jürgens, Richard Kiel,Action, Adventure, Thriller,46.8,PG ,"1,12,515"
Ichi the Killer, Tadanobu Asano, Nao Ômori, Shin'ya Tsukamoto, Paulyn Sun,Action, Crime, Drama,0.02,R ,"58,212"
Unleashed, Jet Li, Bob Hoskins, Morgan Freeman, Kerry Condon,Action, Crime, Thriller,24.52,R ,"1,05,918"
The Foreigner, Katie Leung, Jackie Chan, Rufus Jones, Mark Tandy,Action, Thriller,Nan,34.39,R ,"1,18,769"
Filth, James McAvoy, Jamie Bell, Eddie Marsan, Imogen Poots,Action, Comedy, Crime,0.03,R ,"1,12,625"
The Towering Inferno, Paul Newman, Steve McQueen, William Holden, Faye Dunaway,Action, Drama, Thriller,116,PG ,"46,271"
Taxi, Samy Naceri, Frédéric Diefenthal, Marion Cotillard, Manuela Gourary,Action, Comedy, Crime,0.27,Not Rated ,"86,474"
Maverick, Mel Gibson, Jodie Foster, James Garner, Graham Greene,Action, Adventure, Comedy,101.63,PG ,"1,15,433"
Hellboy II: The Golden Army, Ron Perlman, Selma Blair, Doug Jones, John Alexander,Action, Adventure, Fantasy,75.75,PG-13 ,"2,79,080"
Spy Game, Robert Redford, Brad Pitt, Catherine McCormack, Stephen Dillane,Action, Crime, Thriller,0.03,R ,"1,61,393"
Ip Man 4: The Finale, Donnie Yen, Scott Adkins, Danny Kwok-Kwan Chan, Vanness Wu,Action, Biography, Drama,3.96,Not Rated ,"34,704"
Juice, Omar Epps, Tupac Shakur, Jermaine Hopkins, Khalil Kain,Action, Crime, Drama,20.15,R ,"28,721"
The War of the Worlds, Gene Barry, Ann Robinson, Les Tremayne, Robert Cornthwaite,Action, Sci-Fi, Thriller,4.36,G ,"37,280"
Thunderbolt and Lightfoot, Clint Eastwood, Jeff Bridges, George Kennedy, Geoffrey Lewis,Action, Comedy, Crime,25,R ,"27,003"
Dragon: The Bruce Lee Story, Jason Scott Lee, Lauren Holly, Robert Wagner, Michael Learned,Action, Biography, Drama,35.11,PG-13 ,"32,062"
Son of Rambow, Bill Milner, Will Poulter, Jessica Hynes, Anna Wing,Action, Adventure, Comedy,1.78,PG-13 ,"32,565"
The Protector, Tony Jaa, Nathan Jones, Xing Jin, Phetthai Vongkumlao,Action, Crime, Drama,11.91,R ,"38,235"
Ip Man 3, Donnie Yen, Lynn Xiong, Jin Zhang, Mike Tyson,Action, Biography, Drama,2.68,PG-13 ,"58,076"
Sultan, Salman Khan, Anushka Sharma, Randeep Hooda, Amit Sadh,Action, Drama, Romance,6.2,Not Rated ,"49,191"
Curse of the Golden Flower, Chow Yun-Fat, Gong Li, Jay Chou, Ye Liu,Action, Drama, Romance,6.57,R ,"45,169"
Kabir Singh, Shahid Kapoor, Kiara Advani, Nikita Dutta, Soham Majumdar,Action, Drama, Romance,Nan,Not Rated ,"36,157"
Don 2, Shah Rukh Khan, Florian Lukas, Om Puri, Priyanka Chopra Jonas,Action, Crime, Thriller,3.68,Not Rated ,"55,393"
Main Hoon Na, Shah Rukh Khan, Sushmita Sen, Suniel Shetty, Zayed Khan,Action, Comedy, Drama,1.72,Not Rated ,"37,895"
Vikrant Rona, Sudeep, Nirup Bhandari, Neetha Ashok, Jacqueline Fernandez,Action, Crime, Drama,Nan,Not Rated ,"28,026"
The Warlords, Jet Li, Andy Lau, Takeshi Kaneshiro, Jinglei Xu,Action, Adventure, Drama,0.13,R ,"27,414"
The Legend Is Born: Ip Man, Yu-Hang To, Yi Huang, Biao Yuen, Siu-Wong Fan,Action, Biography, Drama,Nan,Not Rated ,"32,560"
Sisu, Jorma Tommila, Aksel Hennie, Jack Doolan, Mimosa Willamo,Action, War,Nan,Nan,R ,"39,805"
Top Gun, Tom Cruise, Tim Robbins, Kelly McGillis, Val Kilmer,Action, Drama,Nan,179.8,PG ,"4,76,711"
Conan the Barbarian, Arnold Schwarzenegger, James Earl Jones, Max von Sydow, Sandahl Bergman,Action, Adventure, Fantasy,39.57,R ,"1,56,327"
Captain America: The First Avenger, Chris Evans, Hugo Weaving, Samuel L. Jackson, Hayley Atwell,Action, Adventure, Sci-Fi,176.65,PG-13 ,"8,67,649"
Doctor Strange in the Multiverse of Madness, Benedict Cumberbatch, Elizabeth Olsen, Chiwetel Ejiofor, Benedict Wong,Action, Adventure, Fantasy,411.33,PG-13 ,"4,42,441"
The Woman King, Viola Davis, Thuso Mbedu, Lashana Lynch, Sheila Atim,Action, Drama, History,67.33,PG-13 ,"63,389"
In the Heart of the Sea, Chris Hemsworth, Cillian Murphy, Brendan Gleeson, Ben Whishaw,Action, Adventure, Biography,25.02,PG-13 ,"1,43,723"
Jurassic World, Chris Pratt, Bryce Dallas Howard, Ty Simpkins, Judy Greer,Action, Adventure, Sci-Fi,652.27,PG-13 ,"6,58,967"
The Amazing Spider-Man, Andrew Garfield, Emma Stone, Rhys Ifans, Irrfan Khan,Action, Adventure, Sci-Fi,262.03,PG-13 ,"6,75,694"
A Knight's Tale, Heath Ledger, Mark Addy, Rufus Sewell, Shannyn Sossamon,Action, Adventure, Romance,56.57,PG-13 ,"1,94,154"
Mission: Impossible III, Tom Cruise, Michelle Monaghan, Ving Rhames, Philip Seymour Hoffman,Action, Adventure, Thriller,134.03,PG-13 ,"3,68,320"
The Last Kingdom: Seven Kings Must Die, Mark Rowley, Pekka Strang, Zoltan Andrasi, Ingrid García Jonsson,Action, Drama, History,Nan,TV-MA ,"28,252"
Jumanji: Welcome to the Jungle, Dwayne Johnson, Karen Gillan, Kevin Hart, Jack Black,Action, Adventure, Comedy,404.52,PG-13 ,"3,98,943"
Iron Man 2, Robert Downey Jr., Mickey Rourke, Gwyneth Paltrow, Don Cheadle,Action, Sci-Fi,Nan,312.43,PG-13 ,"8,39,826"
Solo: A Star Wars Story, Alden Ehrenreich, Woody Harrelson, Emilia Clarke, Donald Glover,Action, Adventure, Sci-Fi,213.77,PG-13 ,"3,62,398"
The Mask, Jim Carrey, Cameron Diaz, Peter Riegert, Peter Greene,Action, Comedy, Crime,119.94,PG-13 ,"4,00,810"
The Magnificent Seven, Denzel Washington, Chris Pratt, Ethan Hawke, Vincent D'Onofrio,Action, Adventure, Drama,93.43,PG-13 ,"2,20,018"
The World's End, Simon Pegg, Nick Frost, Martin Freeman, Rosamund Pike,Action, Comedy, Sci-Fi,26,R ,"2,90,009"
Pacific Rim, Idris Elba, Charlie Hunnam, Rinko Kikuchi, Charlie Day,Action, Adventure, Sci-Fi,101.8,PG-13 ,"5,14,689"
X-Men: Apocalypse, James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult,Action, Adventure, Sci-Fi,155.44,PG-13 ,"4,47,239"
Con Air, Nicolas Cage, John Cusack, John Malkovich, Colm Meaney,Action, Crime, Thriller,101.12,R ,"3,08,981"
Star Wars: Episode VIII - The Last Jedi, Daisy Ridley, John Boyega, Mark Hamill, Carrie Fisher,Action, Adventure, Fantasy,620.18,PG-13 ,"6,49,774"
Robin Hood: Prince of Thieves, Kevin Costner, Morgan Freeman, Mary Elizabeth Mastrantonio, Christian Slater,Action, Adventure, Drama,165.5,PG-13 ,"2,01,103"
Game Night, Jason Bateman, Rachel McAdams, Kyle Chandler, Sharon Horgan,Action, Adventure, Comedy,69.18,R ,"2,45,589"
Atlantis: The Lost Empire, Michael J. Fox, Jim Varney, Corey Burton, Claudia Christian,Animation, Action, Adventure,84.05,PG ,"1,26,982"
The Guardian, Kevin Costner, Ashton Kutcher, Sela Ward, Melissa Sagemiller,Action, Adventure, Drama,55.01,PG-13 ,"95,598"
National Treasure, Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean,Action, Adventure, Mystery,173.01,PG ,"3,43,936"
Pineapple Express, Seth Rogen, James Franco, Gary Cole, Danny McBride,Action, Comedy, Crime,87.34,R ,"3,48,617"
Thunderball, Sean Connery, Claudine Auger, Adolfo Celi, Luciana Paluzzi,Action, Adventure, Thriller,63.6,PG ,"1,22,825"
Romancing the Stone, Michael Douglas, Kathleen Turner, Danny DeVito, Zack Norman,Action, Adventure, Comedy,76.57,PG ,"99,021"
Outlaw King, Chris Pine, Stephen Dillane, Rebecca Robin, Billy Howle,Action, Biography, Drama,Nan,R ,"76,482"
28 Weeks Later, Jeremy Renner, Rose Byrne, Robert Carlyle, Harold Perrineau,Action, Adventure, Horror,28.64,R ,"2,84,298"
The Hitman's Bodyguard, Ryan Reynolds, Samuel L. Jackson, Gary Oldman, Elodie Yung,Action, Comedy, Crime,75.47,R ,"2,38,976"
Love and Monsters, Dylan O'Brien, Jessica Henwick, Michael Rooker, Dan Ewing,Action, Adventure, Comedy,1.07,PG-13 ,"1,35,078"
Non-Stop, Liam Neeson, Julianne Moore, Scoot McNairy, Michelle Dockery,Action, Mystery, Thriller,92.17,PG-13 ,"2,70,121"
Clear and Present Danger, Harrison Ford, Willem Dafoe, Anne Archer, Joaquim de Almeida,Action, Crime, Drama,122.19,PG-13 ,"1,03,934"
Dragged Across Concrete, Mel Gibson, Vince Vaughn, Tory Kittles, Michael Jai White,Action, Crime, Drama,Nan,R ,"51,288"
Clash of the Titans, Laurence Olivier, Harry Hamlin, Claire Bloom, Maggie Smith,Action, Adventure, Family,41.09,PG ,"46,140"
Crank, Jason Statham, Amy Smart, Carlos Sanz, Jose Pablo Cantillo,Action, Crime, Thriller,27.83,R ,"2,56,315"
The Edge, Anthony Hopkins, Alec Baldwin, Elle Macpherson, Harold Perrineau,Action, Adventure, Drama,27.78,R ,"76,413"
48 Hrs, Nick Nolte, Eddie Murphy, Annette O'Toole, Frank McRae,Action, Comedy, Crime,78.87,R ,"81,740"
All Is Lost, Robert Redford,Nan,Nan,Nan,Action, Adventure, Drama,6.26,PG-13 ,"82,153"
Westworld, Yul Brynner, Richard Benjamin, James Brolin, Norman Bartold,Action, Drama, Sci-Fi,16.06,PG ,"60,916"
